Name,Similar Movies
Furry Vengeance,"Dudley Do-Right, Zookeeper, Marmaduke, The Fixies, Alvin and the Chipmunks: The Squeakquel, Paul Blart: Mall Cop, Aliens in the Attic, Underdog, Alvin and the Chipmunks, Son of Bigfoot, Evan Almighty, The Nut Job"
Dudley Do-Right,"George of the Jungle, Looney Tunes: Back in Action, Furry Vengeance, The Dudley Do-Right Show, The Adventures of Rocky & Bullwinkle, Journey to the Center of the Earth, Sinbad: Beyond the Veil of Mists, The Great Muppet Caper, The Flintstones in Viva Rock Vegas, Daddy Day Care, Like Mike, Fat Albert"
11-11-11,"Anatomy, Darkness, 11/11/11, Pathology, Angelus, The Last Days on Mars, End of Days, Solomon Kane, Exorcist: The Beginning, The Final Conflict, 13/13/13, 12/12/12"
Tubelight,"Bharat, Dabangg 3, Prem Ratan Dhan Payo, Jai Ho, Race 3, Dabangg 2, Ready, Bodyguard, Dabangg, Sultan, Ek Tha Tiger, Tiger Zinda Hai"
Batman & Robin,"Batman Forever, Batman Returns, Batman, Catwoman, Batman Begins, Batman v Superman: Dawn of Justice, Superman II, Superman Returns, Superman, Superman III, Superman IV: The Quest for Peace, Batman: The Movie"
The Human Centipede 2 (Full Sequence),"The Human Centipede (First Sequence), The Human Centipede III (Final Sequence), A Serbian Film, Ballistic: Ecks vs. Sever, Street Fighter: The Legend of Chun-Li, Stan Helsing, Cannibal Holocaust, The Hungover Games, Hostel, Hostel: Part II, Salò, or the 120 Days of Sodom, Martyrs"
The Adventures of Sharkboy and Lavagirl 3-D,"Spy Kids 3: Game Over, Spy Kids, Spy Kids 2: Island of Lost Dreams, We Can Be Heroes, The Survival of Humanity, Sky High, Alvin and the Chipmunks, Scooby-Doo, Scooby-Doo 2: Monsters Unleashed, Alvin and the Chipmunks: Chipwrecked, Alvin and the Chipmunks: The Squeakquel, Shorts"
The Wicker Man,"The Wicker Man, Bad Lieutenant: Port of Call New Orleans, Vampire's Kiss, The Weather Man, Rage, Season of the Witch, Next, Knowing, Snake Eyes, 8MM, The Wicker Tree, Ghost Rider"
Piranha 3DD,"Piranha 3D, Bucky Larson: Born to Be a Star, The Hungover Games, I Know Who Killed Me, The Love Guru, Dragon Wars: D-War, In the Name of the King: A Dungeon Siege Tale, Piranha, Street Fighter: The Legend of Chun-Li, Ballistic: Ecks vs. Sever, Stan Helsing, Piranha II: The Spawning"
The Canyons,"Touch, The Comfort of Strangers, Affliction, Liz & Dick, Adam Resurrected, Light Sleeper, Among the Shadows, I Know Who Killed Me, Forever Mine, Blue Collar, Auto Focus, The Walker"
Crossroads,"Irish Wish, Players, Crossroads, Upgraded, A Family Affair, Jersey Girl, Duplex, Mother of the Bride, Bring It On, First Daughter, Uptown Girls, Maid in Manhattan"
Exorcist II: The Heretic,"The Exorcist III, Exorcist: The Beginning, Dominion: Prequel to the Exorcist, The Exorcist, The Exorcist: Believer, The Exorcist III: Legion, Exorcist II: The Heretic: Alternate Opening, The Exorcist, Born Innocent, 3 Sleeps, His Name Was Gerry, The Exorcist: Deceiver"
The Avengers,"The Avengers, A Month by the Lake, The League of Extraordinary Gentlemen, Sphere, Wild Wild West, The Truth About Cats & Dogs, Police Academy: Mission to Moscow, Ceremony, Batman & Robin, Rising Sun, Entrapment, Braddock: Missing in Action III"
Deadly Illusions,"You Get Me, Fatal Affair, Dangerous Lies, Loving Adults, Secret Obsession, Sightless, Kidnapping Stella, Chloe, The Weekend Away, Under Her Control, When the Bough Breaks, The Influence"
In the Name of the King: A Dungeon Siege Tale,"The Hungover Games, In the Name of the King: Two Worlds, The Love Guru, Street Fighter: The Legend of Chun-Li, Bucky Larson: Born to Be a Star, Ballistic: Ecks vs. Sever, I Know Who Killed Me, In the Name of the King: The Last Mission, Dragon Wars: D-War, Stan Helsing, Piranha 3DD, BloodRayne"
The Love Guru,"The Hungover Games, Bucky Larson: Born to Be a Star, In the Name of the King: A Dungeon Siege Tale, I Know Who Killed Me, Street Fighter: The Legend of Chun-Li, Dragon Wars: D-War, Ballistic: Ecks vs. Sever, Austin Powers in Goldmember, The Pentaverate, Piranha 3DD, Stan Helsing, Austin Powers: The Spy Who Shagged Me"
The Last Days of American Crime,"Outside the Wire, Skylines, Point Blank, Beyond Skyline, Killerman, Silverton Siege, Close, Never Grow Old, Gold Diggers, Below Zero, Sniper: Ultimate Kill, Run with the Hunted"
Caddyshack II,"Caddyshack, Caddyshack: The 19th Hole, Spies Like Us, National Lampoon's European Vacation, The Great Outdoors, Funny Farm, Revenge of the Nerds II: Nerds in Paradise, Vegas Vacation, Vacation, Revenge of the Nerds, Major League II, Dragnet"
Recep Ivedik 4,"Recep Ivedik 3, Recep Ivedik 5, Recep Ivedik 2, Recep Ivedik, Recep Ivedik 6, Recep Ivedik 7, Osman Pazarlama, Celal and Ceren, Sacred Demijohn, Sacred Demijohn 2, Çakallarla Dans, Kolpaçino"
Superman IV: The Quest for Peace,"Superman III, Superman II, Superman, Superman Returns, Superman II: The Richard Donner Cut, Dragon Wars: D-War, Supergirl, Captain America, Batman & Robin, Smolensk, Jaws 3-D, Person, Place or Thing"
Jaws 3-D,"Jaws: The Revenge, Jaws 2, Jaws, Captain America, Smolensk, Dragon Wars: D-War, Superman IV: The Quest for Peace, Fifty Shades of Black, Baaghi 3, Far Cry, Feardotcom, Cruel Jaws"
Dungeons & Dragons,"Dungeons & Dragons: Wrath of the Dragon God, Dungeons & Dragons: The Book of Vile Darkness, Dragon Wars: D-War, Captain America, Smolensk, Dungeons & Dragons, Jaws 3-D, Superman IV: The Quest for Peace, Dungeons & Dragons: Honor Among Thieves, Far Cry, Mortal Kombat: Annihilation, In the Name of the King: A Dungeon Siege Tale"
The Fog,"The Fog, I Know Who Killed Me, Feardotcom, Poltergeist, The Haunting in Connecticut, Don't Say Its Name, Dumb and Dumberer: When Harry Met Lloyd, Ghost Ship, Starship Troopers 2: Hero of the Federation, Boogeyman, The Covenant, Piranha 3DD"
The Flintstones in Viva Rock Vegas,"The Flintstones, The NeverEnding Story III, Mac and Me, Daddy Day Camp, 3 Ninjas: High Noon at Mega Mountain, The Adventures of Sharkboy and Lavagirl 3-D, The Survival of Humanity, Leave It to Beaver, Family Camp, The Flintstones, Spice World, The Master of Disguise"
Spice World,"3 Ninjas: High Noon at Mega Mountain, The NeverEnding Story III, The Survival of Humanity, Mac and Me, Daddy Day Camp, Buddy, Bratz, The Master of Disguise, Treasure Island, Kazaam, Meg and Me, Superbabies: Baby Geniuses 2"
Cabin Fever,"Cabin Fever 3: Patient Zero, Cabin Fever 2: Spring Fever, Cabin Fever, Cabin Fever, Cabin Fever, The Hills Have Eyes 2, Leatherface, Joy Ride 2: Dead Ahead, Wrong Turn 6: Last Resort, Cabin Fever: Family Friendly Version, Fender Bender, Cabin Fever"
Street Fighter: The Legend of Chun-Li,"Ballistic: Ecks vs. Sever, The Hungover Games, Stan Helsing, Street Fighter, Bucky Larson: Born to Be a Star, In the Name of the King: A Dungeon Siege Tale, Street Fighter: Assassin's Fist, I Know Who Killed Me, The Love Guru, Dragon Wars: D-War, Street Fighter: Resurrection, The Human Centipede 2 (Full Sequence)"
Ballistic: Ecks vs. Sever,"Stan Helsing, Street Fighter: The Legend of Chun-Li, The Hungover Games, Speed 2: Cruise Control, Bucky Larson: Born to Be a Star, Fah, In the Name of the King: A Dungeon Siege Tale, The Love Guru, I Know Who Killed Me, The Human Centipede 2 (Full Sequence), Dragon Wars: D-War, Angels"
Extreme Movie,"Date Movie, Epic Movie, Shriek If You Know What I Did Last Friday the Thirteenth, Fifty Shades of Black, Meet the Spartans, Vampires Suck, Disaster Movie, Youth in Revolt, Barbarian Queen, The Hottie & the Nottie, Delta Farce, Foreign Exchange"
Delta Farce,"Larry the Cable Guy: Health Inspector, Witless Protection, Blue Collar Comedy Tour: The Movie, Blue Collar Comedy Tour Rides Again, Employee of the Month, Extreme Movie, Bait Shop, Larry the Cable Guy's Christmas Spectacular, The Animal, The Delta Force, Larry the Cable Guy's Hula-Palooza Christmas Luau, Men at Work"
The Room,"The Disaster Artist, Big Shark, The Room, Birdemic: Shock and Terror, Best F(r)iends: Volume 1, Samurai Cop, Best F(r)iends Volume Two, The Room Returns!, Fateful Findings, The Neighbors, The Room Actors: Where Are They Now?, Homeless in America"
Home Sweet Home Alone,"Home Alone: The Holiday Heist, Home Alone 4: Taking Back the House, Home Alone 3, Home Alone 2: Lost in New York, Home Alone, Home Alone 9, The Santa Clause 3: The Escape Clause, Noelle, Home Alone: Deleted Scenes, The Santa Clause 2, The Grinch, The Christmas Chronicles"
Mortal Kombat: Annihilation,"Mortal Kombat, Far Cry, Hercules in New York, Mortal Kombat: Conquest, Feardotcom, Smolensk, Mortal Kombat, Barb Wire, Mortal Kombat: Legacy, Police Academy: Mission to Moscow, Fifty Shades of Black, Mortal Kombat: Rebirth"
Swept Away,"Swept Away, The Next Best Thing, Shanghai Surprise, Star, Who's That Girl, Evita, Body of Evidence, Revolver, The Hire, Bloodhounds of Broadway, Dick Tracy, Desperately Seeking Susan"
I Know Who Killed Me,"Bucky Larson: Born to Be a Star, Dragon Wars: D-War, The Hungover Games, Among the Shadows, The Love Guru, Street Fighter: The Legend of Chun-Li, In the Name of the King: A Dungeon Siege Tale, Labor Pains, Ballistic: Ecks vs. Sever, Piranha 3DD, The Canyons, Stan Helsing"
The Survival of Humanity,"Spy Kids 3: Game Over, Spy Kids 2: Island of Lost Dreams, Spy Kids, Spy Kids: Armageddon, The NeverEnding Story III, The Adventures of Sharkboy and Lavagirl 3-D, 3 Ninjas: High Noon at Mega Mountain, Daddy Day Camp, Spice World, Spy Kids: Mission Critical, Bratz, Mac and Me"
Stan Helsing,"Ballistic: Ecks vs. Sever, Street Fighter: The Legend of Chun-Li, The Hungover Games, Spanish Movie, Bucky Larson: Born to Be a Star, I Know Who Killed Me, Speed 2: Cruise Control, The Love Guru, In the Name of the King: A Dungeon Siege Tale, The Human Centipede 2 (Full Sequence), Stonerville, Dragon Wars: D-War"
Dance Flick,"Little Man, A Haunted House, Fifty Shades of Black, A Haunted House 2, Mo' Money, Don't Be a Menace to South Central While Drinking Your Juice in the Hood, Scary Movie 4, Date Movie, Vampires Suck, Scary Movie 2, Norbit, Marlon"
S. Darko,"Donnie Darko, Sadako, Donnie Darko: Deus Ex Machina - The Philosophy of Donnie Darko, The Donnie Darko Experience, Teaching Mrs. Tingle, The Box, They Made Me Do It Too: The Cult of Donnie Darko, Corpus Christi, Amicus, Southland Tales, Donnie Darko: Easter Edition, 'Donnie Darko': Production Diary"
Singularity,"Siberia, The Titan, Max Steel, Revolt, The Mortal Instruments: City of Bones, Impact, The Space Between Us, Pay the Ghost, Distorted, Robot Overlords, Pursuit, Stowaway"
Housefull 4,"Housefull 3, Housefull 2, Housefull, It's Entertainment, Total Dhamaal, Golmaal Again, Rowdy Rathore, Singh Is Bliing, Khiladi 786, Golmaal Returns, Mission Mangal, Double Dhamaal"
Judwaa 2,"Main Tera Hero, Coolie No. 1, Dishoom, Any Body Can Dance 2, Judwaa, Student of the Year, Housefull 3, Street Dancer 3D, Housefull 4, Humpty Sharma Ki Dulhania, The Bride of Badrinath, Baaghi 2"
Scary Movie V,"Scary Movie 4, Scary Movie 3, Scary Movie 2, Scary Movie, Scary Movie 6, Laxmii, The Starving Games, Vampires Suck, Dumb and Dumberer: When Harry Met Lloyd, Breach, Gunday, A Haunted House"
Barb Wire,"Far Cry, Hercules in New York, Smolensk, Feardotcom, Naked Souls, Mortal Kombat: Annihilation, Snapdragon, Raw Justice, Police Academy: Mission to Moscow, Fifty Shades of Black, Barb Wire, Gunday"
Fifty Shades of Black,"Smolensk, Far Cry, Baaghi 3, Feardotcom, A Haunted House 2, Hercules in New York, Captain America, Fifty Shades Uncovered, Dragon Wars: D-War, A Haunted House, Barb Wire, Naked"
Black Christmas,"Black Christmas, Black Christmas, It's a Wonderful Knife, Better Watch Out, Black Christmas: 2021 Remake, Ma, There's Someone Inside Your House, Night Swim, Thanksgiving, Ouija, The Sacrifice Game, Black Christmas: The Night Billy Came Home"
The Hungover Games,"Bucky Larson: Born to Be a Star, Street Fighter: The Legend of Chun-Li, Stan Helsing, The Love Guru, In the Name of the King: A Dungeon Siege Tale, Ballistic: Ecks vs. Sever, I Know Who Killed Me, The Starving Games, Dragon Wars: D-War, Piranha 3DD, Fifty Shades of Black, The Hungover Games"
Police Academy: Mission to Moscow,"Police Academy 6: City Under Siege, Police Academy 5: Assignment: Miami Beach, Police Academy 4: Citizens on Patrol, Police Academy 3: Back in Training, Police Academy 2: Their First Assignment, Police Academy, Police Academy: The Series, Far Cry, Hercules in New York, Gunday, Barb Wire, Dumb and Dumberer: When Harry Met Lloyd"
Teen Wolf Too,"Teen Wolf, Stepfather 3, Toon Wolf, Private Resort, The Heavenly Kid, Stepfather II: Make Room for Daddy, Wildcats, Volunteers, Silent Night, Deadly Night 5: The Toy Maker, Friday the 13th Part VIII: Jason Takes Manhattan, Grease 2, Like Father Like Son"
Day of the Dead: Bloodline,"Day of the Dead, Day of the Dead, Diary of the Dead, Survival of the Dead, Land of the Dead, Cargo, Day of the Dead 2: Contagium, Dead Rising: Endgame, Night of the Animated Dead, Little Monsters, Dead Rising: Watchtower, Day of the Dead"
2001: A Space Travesty,"Spy Hard, Wrongfully Accused, Stan Helsing, Naked Gun 33 1/3: The Final Insult, Repossessed, The Naked Gun 2½: The Smell of Fear, Dracula: Dead and Loving It, Camouflage, Spanish Movie, Police Squad!, Scary Movie 4, The Naked Gun: From the Files of Police Squad!"
Dragon Wars: D-War,"Bucky Larson: Born to Be a Star, I Know Who Killed Me, The Hungover Games, Superman IV: The Quest for Peace, Smolensk, The Love Guru, Dragon Wars: Fire and Fury, In the Name of the King: A Dungeon Siege Tale, Ballistic: Ecks vs. Sever, Street Fighter: The Legend of Chun-Li, Fifty Shades of Black, American Zombie"
Larry the Cable Guy: Health Inspector,"Witless Protection, Delta Farce, Ghett'a Life, The Watermelon Heist, Third Falcon, Answer This!, Blood Red, Steve Byrne: The Byrne Identity, The Mystery of a Hansom Cab, From Nowhere, After the Ball, Grounded for Life"
Texas Chainsaw Massacre: The Next Generation,"Leatherface: Texas Chainsaw Massacre III, The Texas Chainsaw Massacre 2, Texas Chainsaw, The Texas Chainsaw Massacre: The Beginning, Leatherface, The Texas Chainsaw Massacre, Texas Chainsaw Massacre, Gunday, The Texas Chain Saw Massacre, Dumb and Dumberer: When Harry Met Lloyd, Far Cry, Breach"
The Master of Disguise,"Daddy Day Camp, Bratz, 3 Ninjas: High Noon at Mega Mountain, Kazaam, The NeverEnding Story III, Santa Claus Conquers the Martians, Superbabies: Baby Geniuses 2, Family Camp, Spice World, Son of the Mask, Foodfight!, The Survival of Humanity"
The Emoji Movie,"The Angry Birds Movie, The Boss Baby, Home, The Secret Life of Pets, The Smurfs, The SpongeBob Movie: Sponge on the Run, The SpongeBob Movie: Sponge Out of Water, The Autobots, The Smurfs 2, Hotel Transylvania 2, Cloudy with a Chance of Meatballs 2, The Angry Birds Movie 2"
Catwoman,"Batman & Robin, Gothika, Batman Forever, Catwomen, Elektra, Daredevil, Batman Returns, Kidnap, Catwoman, Green Lantern, Vidocq, Charlie's Angels: Full Throttle"
Vampires Suck,"The Starving Games, Meet the Spartans, Epic Movie, Scary Movie V, Disaster Movie, Breaking Wind, The Open House, Date Movie, Steel, Enes Batur: Imagination or Reality?, Who's Your Caddy?, Slender Man"
Mac and Me,"The NeverEnding Story III, 3 Ninjas: High Noon at Mega Mountain, Camp Cucamonga, The Adventures of Sharkboy and Lavagirl 3-D, The Flintstones in Viva Rock Vegas, Spice World, The Survival of Humanity, Daddy Day Camp, Family Camp, Bratz, The Master of Disguise, Nukie"
Dumb and Dumberer: When Harry Met Lloyd,"Dumb and Dumber To, Gunday, Breach, Laxmii, Texas Chainsaw Massacre: The Next Generation, Far Cry, Dumb and Dumber, The Open House, Scary Movie V, The Starving Games, Student of the Year 2, Police Academy: Mission to Moscow"
Feardotcom,"Far Cry, Hercules in New York, Smolensk, Barb Wire, Mortal Kombat: Annihilation, Fifty Shades of Black, Exposure, Baaghi 3, Police Academy: Mission to Moscow, Window of Opportunity, Captain America, Legend of the Bog"
Recep Ivedik 5,"Recep Ivedik 4, Recep Ivedik 6, Recep Ivedik 3, Recep Ivedik 2, Recep Ivedik, Recep Ivedik 7, Osman Pazarlama, Celal and Ceren, Travel Mates, Kayhan, Kolpaçino 3. Devre, Çakallarla Dans"
365 Days,"365 Days: This Day, The Next 365 Days, Fifty Shades of Grey, Fifty Shades Freed, Fifty Shades Darker, After, After We Collided, 365 Days, After We Fell, Through My Window, After Ever Happy, My Fault"
Slender Man,"Enes Batur: Imagination or Reality?, Who's Your Caddy?, The Starving Games, The Open House, The Cost of Deception, Hobgoblins, Vampires Suck, Jeepers Creepers: Reborn, Steel, Catwoman, Student of the Year 2, Slender"
Jack and Jill,"Who's Your Caddy?, Hobgoblins, The Cost of Deception, I Now Pronounce You Chuck & Larry, Enes Batur: Imagination or Reality?, That's My Boy, You Don't Mess with the Zohan, Sandy Wexler, Jeepers Creepers: Reborn, The Do-Over, Grown Ups 2, Little Nicky"
Bucky Larson: Born to Be a Star,"I Know Who Killed Me, Dragon Wars: D-War, The Hungover Games, The Love Guru, Street Fighter: The Legend of Chun-Li, Grandma's Boy, In the Name of the King: A Dungeon Siege Tale, Piranha 3DD, Ballistic: Ecks vs. Sever, Around the Block, Stan Helsing, California Romanza"
The Open House,"Laxmii, Breach, Student of the Year 2, The Starving Games, Open House, Shaq, Who's Your Caddy?, Tees Maar Khan, Slender Man, Gunday, Enes Batur: Imagination or Reality?, Vampires Suck"
Hercules in New York,"Far Cry, Barb Wire, Smolensk, Stay Hungry, Feardotcom, Police Academy: Mission to Moscow, Happy Anniversary and Goodbye, Mortal Kombat: Annihilation, Gunday, The Villain, Fifty Shades of Black, Hercules"
Veere Di Wedding,"Khoobsurat, Gori Tere Pyaar Mein!, I Hate Luv Storys, Phata Poster Nikhla Hero, Ek Main Aur Ekk Tu, The Bride of Badrinath, Ki & Ka, Tumhari Sulu, Sui Dhaaga: Made in India, Blind, Salaam Namaste, Hasee Toh Phasee"
Far Cry,"Hercules in New York, Barb Wire, Feardotcom, Smolensk, Mortal Kombat: Annihilation, Far Cry, Police Academy: Mission to Moscow, The Far Cry Experience, Fifty Shades of Black, Gunday, BloodRayne, Postal"
Captain America,"Baaghi 3, Fifty Shades of Black, Smolensk, Captain America, Far Cry, Jaws 3-D, Superman IV: The Quest for Peace, Dragon Wars: D-War, Hercules in New York, Feardotcom, Captain America II: Death Too Soon, Dungeons & Dragons"
The NeverEnding Story III,"The NeverEnding Story II: The Next Chapter, 3 Ninjas: High Noon at Mega Mountain, The Survival of Humanity, Mac and Me, Spice World, Daddy Day Camp, The NeverEnding Story, Bratz, The Flintstones in Viva Rock Vegas, The Adventures of Sharkboy and Lavagirl 3-D, Family Camp, The Master of Disguise"
The Starving Games,"Vampires Suck, The Open House, Student of the Year 2, Steel, Laxmii, Who's Your Caddy?, Enes Batur: Imagination or Reality?, Slender Man, The Hungover Games, Breach, Tees Maar Khan, Gunday"
Daddy Day Camp,"3 Ninjas: High Noon at Mega Mountain, Bratz, Daddy Day Care, The Master of Disguise, The NeverEnding Story III, The Survival of Humanity, Family Camp, Kazaam, The Flintstones in Viva Rock Vegas, Grand-Daddy Day Care, Spice World, Santa Claus Conquers the Martians"
Goal! III,"Goal II: Living the Dream, Goal! The Dream Begins, Ronaldo, Green Street Hooligans 2, 13, American Pie Presents: The Book of Love, Green Street Hooligans, Scary Movie V, Highlander II: The Quickening, Johnny English Reborn, American Pie Presents: Beta House, American Pie Presents: Band Camp"
Left Behind,"Hobgoblins, Left Behind: The Movie, Who's Your Caddy?, The Cost of Deception, Left Behind II: Tribulation Force, BloodRayne, Cosmic Sin, Daniel the Wizard, Left Behind: Rise of the Antichrist, Left Behind III: World at War, Troll 2, Glitter"
Kazaam,"Santa Claus Conquers the Martians, Shazam!, Baby Geniuses, The Emoji Movie, 3 Ninjas: High Noon at Mega Mountain, Daddy Day Camp, First Kid, Superbabies: Baby Geniuses 2, The Master of Disguise, Family Camp, The Sinbad Show, Bratz"
Rollerball,"Rollerball, House of the Dead 2, Who's Your Caddy?, Arachnid, Discarnate, Basic, Madhouse, Attack of the Sabertooth, BloodRayne, The Cost of Deception, Left Behind, Dorothy Mills"
Bratz,"Daddy Day Camp, 3 Ninjas: High Noon at Mega Mountain, Bratz, The Master of Disguise, The NeverEnding Story III, Bratz: Babyz the Movie, The Survival of Humanity, Spice World, Kazaam, Bratz the Video: Starrin' & Stylin', Family Camp, Santa Claus Conquers the Martians"
Jaws: The Revenge,"Jaws 3-D, Jaws 2, Cosmic Sin, Daniel the Wizard, Glitter, Hobgoblins, BloodRayne, Turks in Space, Troll 2, Going Overboard, From Justin to Kelly, Gigli"
Troll 2,"Hobgoblins, Cosmic Sin, Troll, BloodRayne, Daniel the Wizard, Who's Your Caddy?, Glitter, The Cost of Deception, The Human Centipede III (Final Sequence), Best Worst Movie, Jaws: The Revenge, Left Behind"
BloodRayne,"Hobgoblins, BloodRayne II: Deliverance, BloodRayne: The Third Reich, Cosmic Sin, Daniel the Wizard, Who's Your Caddy?, The Cost of Deception, Glitter, Troll 2, Left Behind, Turks in Space, The Human Centipede III (Final Sequence)"
Steel,"The Starving Games, Catwoman, The Open House, Enes Batur: Imagination or Reality?, Vampires Suck, Student of the Year 2, Laxmii, Who's Your Caddy?, Slender Man, Shaq's Garage, Tees Maar Khan, The Cost of Deception"
3 Ninjas: High Noon at Mega Mountain,"3 Ninjas: Knuckle Up, 3 Ninjas Kick Back, Daddy Day Camp, The NeverEnding Story III, 3 Ninjas, Bratz, Spice World, The Survival of Humanity, The Master of Disguise, Mac and Me, Kazaam, Family Camp"
Dabangg 3,"Dabangg 2, Bharat, Dabangg, Radhe, Jai Ho, Race 3, Prem Ratan Dhan Payo, Tubelight, Bodyguard, Ready, Chaitra, Ek Tha Tiger"
Winnie-the-Pooh: Blood and Honey,"Winnie-the-Pooh: Blood and Honey 2, The Mean One, Pet Sematary: Bloodlines, The Exorcist: Believer, Terrifier, Five Nights at Freddy's, Thanksgiving, Tarot, The Strangers: Chapter 1, Night Swim, Terrifier 2, It's a Wonderful Knife"
The Next 365 Days,"365 Days: This Day, 365 Days, Fifty Shades Freed, 365 Days, Fifty Shades Darker, Fifty Shades of Grey, After We Collided, After We Fell, Pappa pia, After Ever Happy, Crossover, After"
Jiu Jitsu,"Müjde, Lawnmower Man 2: Beyond Cyberspace, Aaraattu, Smiley, 321 Action, Dream.net, Khaali Peeli, The Beast of Yucca Flats, Cumali Ceber 2, Piranha II: The Spawning, Keloglan vs. the Black Prince, It's Pat: The Movie"
Breach,"Laxmii, The Open House, Cosmic Sin, Gunday, Apex, Breach, Dumb and Dumberer: When Harry Met Lloyd, Hard Kill, American Siege, Deadlock, Survive the Night, DieHard is Back"
Cats,"Foodfight!, Baby Geniuses, Kirk Cameron's Saving Christmas, Superbabies: Baby Geniuses 2, Cats, Son of the Mask, Santa Claus Conquers the Martians, Saving Christmas, Family Camp, Kazaam, Marmaduke, The Emoji Movie"
Meet the Spartans,"Epic Movie, Date Movie, Turks in Space, Disaster Movie, Going Overboard, Daniel the Wizard, From Justin to Kelly, Gigli, Pledge This!, Alone in the Dark, Cosmic Sin, Race 3"
Date Movie,"Epic Movie, Meet the Spartans, Daniel the Wizard, Turks in Space, Gigli, Going Overboard, From Justin to Kelly, Disaster Movie, Pledge This!, Cosmic Sin, Glitter, Alone in the Dark"
Tees Maar Khan,"Action Replayy, Laxmii, De Dana Dan, Khatta Meetha, Gunday, Rowdy Rathore, Housefull, Student of the Year 2, It's Entertainment, Housefull 2, CC2C, Singh Is King"
365 Days: This Day,"The Next 365 Days, 365 Days, Hobgoblins, Fifty Shades Freed, 365 Days, BloodRayne, Fifty Shades Darker, Cosmic Sin, Fifty Shades of Grey, Who's Your Caddy?, Daniel the Wizard, The Cost of Deception"
The Human Centipede III (Final Sequence),"The Human Centipede 2 (Full Sequence), The Human Centipede (First Sequence), Cosmic Sin, Hobgoblins, Daniel the Wizard, BloodRayne, Troll 2, Who's Your Caddy?, Glitter, Jaws: The Revenge, The Cost of Deception, Turks in Space"
Santa Claus Conquers the Martians,"Kazaam, Santa Claus, Baby Geniuses, The Emoji Movie, Family Camp, 3 Ninjas: High Noon at Mega Mountain, Cats, Daddy Day Camp, The Master of Disguise, Kirk Cameron's Saving Christmas, Superbabies: Baby Geniuses 2, Bratz"
Adipurush,"Lust Stories 2, Shehzada, Lakadbaggha, Saaho, Chatrapathi, Ittu Si Baat, Mission Majnu, Kisi Ka Bhai Kisi Ki Jaan, Radhe Shyam, Salaam Venky, The Archies, Tiku Weds Sheru"
Gunday,"Laxmii, Breach, Tees Maar Khan, Dumb and Dumberer: When Harry Met Lloyd, Student of the Year 2, Texas Chainsaw Massacre: The Next Generation, Far Cry, Hercules in New York, Ki & Ka, The Starving Games, The Open House, Police Academy: Mission to Moscow"
Gigli,"Daniel the Wizard, Turks in Space, From Justin to Kelly, Going Overboard, Date Movie, Pledge This!, Cosmic Sin, Alone in the Dark, Race 3, Glitter, Meet the Spartans, The Gospel of Jack"
Baby Geniuses,"Superbabies: Baby Geniuses 2, Cats, Foodfight!, Santa Claus Conquers the Martians, Baby Geniuses and the Mystery of the Crown Jewels, Kazaam, Son of the Mask, Baby Geniuses and the Treasures of Egypt, Family Camp, Kirk Cameron's Saving Christmas, Baby Geniuses and the Space Baby, Saving Christmas"
Liger,"Lakadbaggha, Ittu Si Baat, Tiku Weds Sheru, Operation Valentine, Salaam Venky, Chatrapathi, Cirkus, Dhoomam, Bheed, Gumraah, Gaslight, IB 71"
Gully,"Where the Devil Can't Go, He Sends a Woman, Uncle Tom II: An American Odyssey, The Guardians of Justice (Will Save You!), Flytrap, Tethered, Cold Ground, Where the Devil Can't Go, He Sends a Woman 2, Laid in America, In the Fire, Autumn Lights, Zebra Girl, Lady-Like"
Dragonball Evolution,"Pledge This!, Alone in the Dark, From Justin to Kelly, Going Overboard, Turks in Space, Battlefield Earth, The Hottie & the Nottie, Daniel the Wizard, Dragonball Evolution: Gag Reel, Radhe, House of the Dead, Race 3"
Battlefield Earth,"Pledge This!, Alone in the Dark, The Hottie & the Nottie, From Justin to Kelly, Going Overboard, House of the Dead, Radhe, Daniel the Wizard, Manos: The Hands of Fate, Dragonball Evolution, Epic Movie, Galaxy Built on Hope"
Jeepers Creepers: Reborn,"Jeepers Creepers III, Who's Your Caddy?, The Cost of Deception, Hobgoblins, Jeepers Creepers 2, Enes Batur: Imagination or Reality?, Jack and Jill, BloodRayne, Left Behind, Jeepers Creepers, Cosmic Sin, Jeepers Creepers Returns"
Cosmic Sin,"Daniel the Wizard, Hobgoblins, Glitter, BloodRayne, Jaws: The Revenge, Turks in Space, Troll 2, From Justin to Kelly, Going Overboard, Breach, Gigli, Who's Your Caddy?"
Laxmii,"Breach, The Open House, Gunday, Kanchana: Muni 2, Tees Maar Khan, Student of the Year 2, Bachchhan Paandey, The Starving Games, Dumb and Dumberer: When Harry Met Lloyd, Kalank, Scary Movie V, Muni"
Epic Movie,"Disaster Movie, Date Movie, Meet the Spartans, Pledge This!, The Hottie & the Nottie, House of the Dead, Alone in the Dark, Radhe, Battlefield Earth, From Justin to Kelly, Manos: The Hands of Fate, Birdemic: Shock and Terror"
Alone in the Dark,"Pledge This!, From Justin to Kelly, House of the Dead, Dragonball Evolution, Going Overboard, Turks in Space, Alone in the Dark 2, Battlefield Earth, The Hottie & the Nottie, Daniel the Wizard, Radhe, Race 3"
